"GEO_ID","NAME","B25034_001E","B25034_001M","B25034_002E","B25034_002M","B25034_003E","B25034_003M","B25034_004E","B25034_004M","B25034_005E","B25034_005M","B25034_006E","B25034_006M","B25034_007E","B25034_007M","B25034_008E","B25034_008M","B25034_009E","B25034_009M","B25034_010E","B25034_010M","B25034_011E","B25034_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Built 2020 or later","Margin of Error!!Total:!!Built 2020 or later","Estimate!!Total:!!Built 2010 to 2019","Margin of Error!!Total:!!Built 2010 to 2019","Estimate!!Total:!!Built 2000 to 2009","Margin of Error!!Total:!!Built 2000 to 2009","Estimate!!Total:!!Built 1990 to 1999","Margin of Error!!Total:!!Built 1990 to 1999","Estimate!!Total:!!Built 1980 to 1989","Margin of Error!!Total:!!Built 1980 to 1989","Estimate!!Total:!!Built 1970 to 1979","Margin of Error!!Total:!!Built 1970 to 1979","Estimate!!Total:!!Built 1960 to 1969","Margin of Error!!Total:!!Built 1960 to 1969","Estimate!!Total:!!Built 1950 to 1959","Margin of Error!!Total:!!Built 1950 to 1959","Estimate!!Total:!!Built 1940 to 1949","Margin of Error!!Total:!!Built 1940 to 1949","Estimate!!Total:!!Built 1939 or earlier","Margin of Error!!Total:!!Built 1939 or earlier",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","1176","108","18","22","128","63","262","88","50","29","5","8","64","61","10","14","58","39","90","66","491","133",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","1398","148","0","13","75","57","70","48","49","35","36","27","98","79","70","53","22","26","59","44","919","149",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","1234","129","0","13","20","30","31","28","18","25","136","55","42","33","55","40","74","42","99","66","759","125",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","1339","125","8","13","61","41","84","44","34","23","18","19","36","44","77","58","16","19","36","28","969","135",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","1708","181","18","22","87","45","327","112","208","82","182","138","33","30","0","13","148","102","52","38","653","141",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","797","67","0","13","25","21","51","29","60","36","20","19","113","55","128","57","59","45","46","32","295","82",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","3977","391","63","52","148","100","40","45","39","48","87","111","1254","372","757","228","781","248","101","92","707","202",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","5240","425","0","18","109","115","282","232","34","56","978","297","878","259","1019","450","501","355","143","102","1296","321",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","1274","83","28","20","211","86","220","100","68","50","40","30","53","35","33","39","37","34","53","36","531","122",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","826","131","0","13","16","17","142","55","149","74","44","38","14","15","47","31","93","104","19","18","302","82",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","935","86","0","13","127","64","36","19","43","29","16","17","87","69","35","51","14","15","95","52","482","93",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","986","108","4","7","18","18","22","17","9","11","41","37","19","13","60","36","40","51","82","55","691","93",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","782","130","0","13","0","13","31","34","27","19","38","27","184","114","35","23","56","26","60","40","351","70",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","2744","340","25","41","199","101","18","33","74","64","210","132","517","173","1022","397","63","59","18","33","598","184",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","3190","285","0","13","65","84","22","37","126","152","70","59","511","241","981","272","420","157","23","32","972","221",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","1912","161","140","82","203","116","109","67","42","29","74","43","48","37","93","49","156","98","165","89","882","181",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","2230","194","47","55","283","122","508","186","126","83","112","77","179","120","228","125","56","52","149","104","542","193",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","1427","168","0","13","244","158","201","57","211","61","138","63","112","53","37","33","61","44","10","15","413","115",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","703","88","8","12","57","26","107","61","184","60","93","48","7","9","25","17","6","9","6","10","210","59",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","823","90","17","24","104","52","275","76","117","46","16","14","36","37","14","15","21","19","33","38","190","77",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","777","91","0","13","93","57","131","43","105","41","15","22","4","7","6","9","21","17","22","18","380","73",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","967","98","30","32","36","28","367","101","111","35","18","16","10","16","22","14","11","12","22","32","340","66",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","1506","152","20","24","137","68","208","87","195","78","68","57","77","52","70","67","23","26","7","13","701","160",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","1714","142","11","18","77","59","195","76","422","122","164","85","45","40","108","84","102","57","17","19","573","151",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","2036","143","0","13","196","93","394","121","243","128","92","59","131","107","68","58","60","41","60","79","792","208",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","2071","232","0","13","119","54","156","82","269","128","116","77","348","130","120","149","203","121","29","29","711","227",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","1477","137","45","67","61","50","172","88","60","45","40","32","173","94","255","137","144","71","47","37","480","114",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","5036","513","0","18","22","36","65","77","146","109","494","354","848","283","1369","455","1247","451","43","74","802","248",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","2137","241","0","13","158","158","35","33","61","50","251","121","272","92","255","127","167","76","97","63","841","186",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","3232","281","0","13","198","121","40","45","65","56","125","82","386","186","466","186","887","200","30","33","1035","216",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","1054","69","6","10","0","13","14","14","30","22","123","48","180","59","546","79","82","37","29","37","44","35",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","1449","149","10","16","215","108","46","35","156","85","94","55","128","38","159","91","56","54","42","35","543","136",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","2976","205","0","13","109","131","17","30","127","107","95","103","724","189","832","252","75","74","33","39","964","238",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","2159","229","0","13","256","100","132","122","49","44","369","206","444","159","395","142","46","31","13","22","455","187",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","1263","74","0","13","12","20","34","30","82","67","134","77","300","115","360","105","19","21","12","20","310","80",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","2298","267","0","13","202","138","305","173","123","91","211","120","324","209","223","112","149","79","36","43","725","237",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","1958","158","44","66","316","167","363","147","263","128","214","116","43","40","101","88","32","41","20","32","562","164",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","1668","131","62","67","142","74","262","107","298","113","149","85","48","33","152","75","96","68","96","76","363","126",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","1475","107","21","18","176","81","190","70","168","68","108","56","85","59","31","37","145","87","10","14","541","122",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","1442","206","0","13","304","174","217","74","277","89","223","78","18","21","0","13","61","45","52","57","290","95",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","2315","238","50","81","284","151","374","122","385","168","57","49","173","117","46","36","116","76","0","13","830","201",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","1076","109","0","13","5","9","83","66","110","112","30","26","44","40","44","38","58","44","46","45","656","144",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","1268","225","0","13","46","37","18","23","56","59","32","31","195","176","13","22","43","38","23","25","842","169",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","1541","132","108","58","509","137","21","21","95","80","110","73","181","100","80","72","77","81","0","13","360","98",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","2279","372","0","13","83","65","71","77","150","96","244","119","348","163","137","99","79","60","66","51","1101","380",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","3237","397","0","13","136","160","0","13","97","67","323","263","530","174","184","96","290","251","14","23","1663","474",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","4262","341","0","18","0","18","46","56","115","98","724","264","1360","293","679","192","75","78","158","155","1105","322",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","764","78","5","8","36","24","55","30","51","38","116","41","176","52","5","7","55","34","5","7","260","84",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","758","71","20","24","33","29","6","8","63","41","179","57","86","42","26","21","42","32","2","5","301","82",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","1209","174","0","13","196","131","77","50","59","46","293","96","357","123","18","21","0","13","20","25","189","94",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","5024","381","0","18","0","18","66","77","55","70","232","166","1286","407","1509","341","933","377","110","106","833","248",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","2675","363","8","17","24","37","110","40","0","13","268","155","812","351","1114","205","140","86","0","13","199","168",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","3072","243","158","113","314","132","0","13","91","58","235","132","861","303","626","179","90","95","0","13","697","258",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","3715","277","177","158","564","210","802","304","701","170","618","187","326","160","34","41","21","34","64","55","408","156",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","2237","410","0","18","320","284","528","246","530","348","24","31","61","71","50","60","13","20","312","311","399","202",
"1400000US17031081000","Census Tract 810; Cook County; Illinois","6263","610","0","18","1018","369","388","217","1260","647","866","426","735","336","650","332","130","147","0","18","1216","455",
"1400000US17031081100","Census Tract 811; Cook County; Illinois","3052","337","10","12","125","110","103","93","353","231","959","353","564","199","106","83","96","103","125","119","611","215",
"1400000US17031081201","Census Tract 812.01; Cook County; Illinois","3866","306","0","13","379","176","657","262","225","110","646","225","860","236","435","167","350","146","23","36","291","166",
