"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","511","99","64","58","23","16","132","52","98","46","99","53","13","12","0","13","18","30","64","34","0","13",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","603","127","10","15","70","47","56","28","113","46","59","31","42","26","40","32","110","113","97","52","6","9",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","2151","364","54","55","62","59","183","126","346","158","254","104","287","152","306","260","191","199","323","154","145","107",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","2016","306","42","47","40","44","500","211","428","210","168","96","152","71","181","114","43","48","462","179","0","13",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","1444","192","60","62","162","81","271","116","236","110","133","64","112","83","51","43","32","28","310","129","77","69",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","1610","223","0","13","103","79","224","178","394","142","147","87","144","90","194","188","159","127","245","158","0","13",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","629","115","20","23","30","27","150","65","162","64","63","55","14","17","17","19","20","23","153","92","0","13",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","260","49","0","13","25","16","86","39","64","29","22","15","6","9","17","17","7","9","26","29","7","10",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","373","72","11","16","44","24","73","46","50","32","6","8","30","35","6","9","51","41","102","46","0","13",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","238","67","17","16","30","24","32","21","23","17","60","41","35","40","0","13","6","9","35","18","0","13",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","281","66","0","13","42","30","45","37","29","31","41","30","23","24","32","30","14","12","55","42","0","13",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","800","171","0","13","74","56","111","66","84","58","174","120","52","39","84","66","53","43","147","87","21","35",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","888","116","71","65","55","33","278","110","239","93","81","69","14","16","17","14","20","20","96","56","17","26",
