GEOID,poverty_rate,poverty_rate_z,renter_rate,renter_rate_z,old_building_rate,old_building_rate_z,housing_structural_index
17031330103,15.84,0.0690270646649986,50.61,0.33958033381474906,18.79,-0.4979064141220483,-0.08929901564230064
17031330200,8.52,-0.5575106246717448,29.23,-0.5636665277377938,7.2,-0.9743599857559144,-2.095537138165453
17031340300,11.4,-0.3110039928015506,55.85,0.5609560847284688,50.67,0.8126492255403895,1.0626013174673077
17031340400,26.34,0.9677491600250814,62.41,0.8380982461777053,45.65,0.606281932218387,2.412129338421174
17031340500,27.21,1.0422147050692026,60.26,0.7472665926539463,50.6,0.8097715939602023,2.599252891683351
17031340600,56.73,3.5689076817386916,91.56,2.0696064788370427,11.31,-0.8054019029763466,4.833112257599388
17031350100,24.64,0.8222417731572584,100.0,2.4261735280186825,5.29,-1.0528782188724533,2.1955370823034874
17031350400,55.53,3.4661965851261116,97.63,2.326047472739004,7.8,-0.9496945722114519,4.842549485653664
17031351000,8.05,-0.5977391375116723,91.01,2.0463704744472437,8.83,-0.9073522789601248,0.5412790579754466
17031351100,53.95,3.330960307919547,95.83,2.2500023674632987,22.71,-0.3367590456315602,5.2442036297512855
17031351400,33.96,1.61996462351497,91.32,2.059467131466948,25.38,-0.22699795535870246,3.4524337996232157
17031351500,24.56,0.8153943667164196,90.26,2.0146850139157,2.39,-1.172094384337355,1.657984996294765
17031360200,55.89,3.497009914109886,92.22,2.097489684104801,9.45,-0.8818646849641802,4.712634913250508
17031380100,20.76,0.49014256077658036,54.05,0.48491097945276335,20.02,-0.44734231635590027,0.5277112238734434
17031380200,45.89,2.641084109005045,90.96,2.0442581104118074,4.31,-1.0931650609950752,3.592177158421778
17031380600,30.32,1.308407630456808,76.54,1.4350523225919916,23.72,-0.2952389328317152,2.448221020217084
17031381200,28.64,1.1646120951991947,60.63,0.7628980865161749,51.08,0.8295039247957721,2.757014106511142
17031381400,29.83,1.2664672660066707,75.93,1.4092814813596692,26.5,-0.18095585007570586,2.494792897290634
17031381500,33.33,1.5660412977933649,75.06,1.3725263471430782,49.38,0.7596185864197954,3.6981862313562384
17031381800,19.61,0.3917110931895235,84.24,1.7603563840491745,30.47,-0.01775303045651275,2.1343144467821853
17031381900,18.58,0.30355073526372484,36.12,-0.27258276365467793,58.66,1.141110315907481,1.1720782875165279
17031390100,11.71,-0.2844702928433005,51.85,0.3919669618935683,38.28,0.30330843584724015,0.41080510489750793
17031390200,14.96,-0.006294406184227295,33.33,-0.39045267683202095,33.4,0.10269640568561217,-0.29405067733063606
17031390300,42.78,2.37489118361744,82.57,1.6898034252656033,36.72,0.2391783606316377,4.30387296951468
17031390400,34.01,1.624244252540494,77.32,1.4680052015447966,22.15,-0.3597800982730586,2.732469355812232
17031390500,13.29,-0.14923401563673583,66.35,1.0045525321700821,39.28,0.3444174584213442,1.1997359749546905
17031390600,21.0,0.5106847800990965,60.81,0.7705025970437454,51.81,0.8595135112748682,2.14070088841771
17031390700,17.75,0.23250889344002318,57.61,0.6353112987758248,13.19,-0.7281169405370311,0.1397032516788168
17031400300,12.17,-0.24509770580847792,64.44,0.9238602260164174,36.82,0.24328926288904815,0.9220517830969877
17031400400,44.86,2.552923751079246,83.35,1.722756304218409,55.71,1.0198386993138742,5.29551875461153
17031400500,31.24,1.3871528045264532,91.48,2.066226696380345,34.92,0.16518211999825047,3.6185616209050484
17031400800,61.43,3.971192810137967,97.95,2.339566602565796,29.76,-0.046940436484126526,6.263818976219637
17031410100,14.17,-0.07391254478750979,79.12,1.5440503068205023,32.94,0.08378625530152425,1.5539240173345168
17031410200,24.09,0.7751658538764922,77.22,1.4637804734739244,51.69,0.8545804285659756,3.093526755916392
17031410500,29.92,1.2741705982526146,69.17,1.1236898637686872,42.6,0.48089941336736974,2.8787598753886714
17031410600,34.54,1.6696083202110508,71.06,1.2035372243081777,45.75,0.6103928344757975,3.483538378995026
17031410700,27.15,1.0370791502385734,67.36,1.0472222856858948,51.71,0.8554026090174578,2.9397040449419256
17031410800,16.78,0.14948409034485374,69.08,1.1198876085049019,44.03,0.5396853156483385,1.8090570144980942
17031410900,9.77,-0.45051989903363976,61.11,0.7831767812563628,71.87,1.684160504111396,2.016817386334119
17031411000,18.67,0.31125406750966866,67.77,1.064543670776472,48.52,0.7242648270060659,2.1000625652922063
17031411100,8.58,-0.5523750698411157,49.7,0.30113530836980934,63.66,1.3466554287780013,1.0954156673066948
17031411200,14.68,-0.03026032872716293,39.68,-0.12218244433161642,71.51,1.6693612559847186,1.5169184829259392
17031420100,38.23,1.9854449422947367,95.8,2.2487349490420367,9.42,-0.8830979556414033,3.3510819356953703
17031420200,37.96,1.9623349455569064,82.33,1.6796640778955096,36.99,0.2502777967266459,3.8922768201790623
17031420300,33.83,1.608837588048607,74.24,1.3378835769619233,53.46,0.9273433985221399,3.87406456353267
17031420400,41.36,2.2533497192925522,88.02,1.9200511051281555,41.13,0.4204691501834368,4.593869974604145
17031420500,53.11,3.2590625402907403,78.73,1.5275738673440995,25.49,-0.22247596287555105,4.564160444759288
17031420600,34.77,1.6892946137284623,90.4,2.0205996332149216,42.49,0.4763774208842183,4.186271667827603
17031420700,35.02,1.7106927588560834,65.96,0.9880760926936794,46.52,0.6420467818578578,3.3408156334076202
17031420800,26.33,0.9668932342199764,81.01,1.6238976673599927,45.72,0.6091595637985743,3.199950465378543
17031421200,27.53,1.0696043308325576,75.45,1.389002786619481,55.74,1.0210719699910973,3.479679087443136
17031430101,26.99,1.0233843373568958,78.99,1.5385581603283676,51.7,0.8549915187917169,3.41693401647698
17031430102,37.55,1.9272419875476074,78.43,1.514899683131482,48.83,0.737008624004038,4.179150294683128
17031430200,24.67,0.8248095505725731,74.48,1.3480229243320176,35.14,0.17422610496455332,2.3470585798691443
17031430300,32.92,1.5309483397840666,84.57,1.7742979866830537,37.57,0.2741210298196262,3.5793673562867467
17031430400,28.5,1.152629133927727,59.07,0.6969923286105636,50.68,0.8130603157661306,2.6626817783044214
17031430500,22.09,0.603980692855524,89.68,1.9901815911046397,29.47,-0.05886205303061682,2.535300230929547
17031430600,29.73,1.2579080079556224,70.71,1.1887506760601236,46.23,0.6301251653113673,3.0767838493271134
17031430700,32.69,1.511262046266655,81.16,1.6302347594663011,58.7,1.1427546768104453,4.284251482543401
17031430800,12.69,-0.20058956394302624,48.74,0.2605779188894332,60.33,1.2097623836062348,1.2697507385526419
17031430900,25.44,0.8907158375656458,63.51,0.884570254957303,44.43,0.5561289246779801,2.331415017200929
17031431200,11.48,-0.3041565863607119,32.84,-0.41115384437929603,68.43,1.5427454664564781,0.8274350357164701
17031431301,29.41,1.2305183821922674,90.25,2.0142625411086126,77.64,1.9213595643639763,5.1661404876648565
17031431302,48.43,2.8584892635016743,89.77,1.9939838463684243,61.29,1.2492270452773746,6.101700155147473
17031431400,37.14,1.8921490295383094,80.27,1.5926346796355357,25.2,-0.23439757942204117,3.250386129751804
17031440101,32.8,1.5206772301228082,96.04,2.2588742964121313,31.52,0.02541144324629655,3.8049629697812364
17031440102,42.23,2.327815264336673,78.92,1.535600850678757,41.35,0.42951313514973966,4.2929292501651695
17031440201,32.84,1.524100933343228,68.18,1.0818650558670497,65.16,1.4083189626391572,4.014284951849435
17031440202,17.39,0.20169556445624898,66.46,1.0091997330480418,31.54,0.026233623697778617,1.2371289212020695
17031440300,7.18,-0.6722046825557935,38.47,-0.17330165398917383,26.5,-0.18095585007570586,-1.0264621866206731
17031440600,11.39,-0.31185991860665546,14.34,-1.1927285374907108,23.63,-0.29893874486338456,-1.803527200960751
17031440700,18.84,0.3258048061964508,35.09,-0.31609746278466455,34.94,0.16600430044973238,0.17571164386151863
17031440800,52.45,3.202571437153821,77.15,1.4608231638243139,30.89,-0.0004872409753889704,4.662907360002746
17031440900,23.14,0.6938529023915324,34.03,-0.3608795803359133,52.48,0.8870565563995177,1.2200298784551369
17031450300,15.53,0.0424933647067485,40.6,-0.08331494607958924,38.92,0.32961821029466676,0.288796628921826
17031460100,25.47,0.8932836149809601,55.17,0.5322279338465357,54.8,0.9824294887714392,2.4079410375989347
17031460200,39.68,2.109554184034939,54.39,0.49927505489373003,71.36,1.6631949025986026,4.272024141527272
17031460301,27.64,1.0790195146887107,44.89,0.09792588816084147,64.71,1.3898199024808104,2.566765305330363
17031460302,24.93,0.8470636215052988,54.86,0.5191312768268308,67.6,1.5086249777199712,2.8748198760521007
17031460400,23.05,0.6861495701455889,42.9,0.013853799550478404,47.85,0.6967217818814161,1.3967251515774834
17031460500,15.74,0.06046780661395022,48.62,0.25550824520438603,48.91,0.7402973458099662,1.0562733976283025
17031460800,36.52,1.8390816296218095,74.71,1.3577397988950242,55.24,1.0005174587040453,4.197338887220878
17031461000,42.69,2.367187851371496,90.33,2.0176423235653105,29.75,-0.047351526709867635,4.337478648226939
17031470100,26.78,1.0054098954496944,46.86,0.18115303115702988,37.83,0.2848093756888932,1.4713723022956176
17031480100,15.48,0.03821373568122439,30.66,-0.5032529163243169,14.44,-0.676730662319401,-1.1417698429624936
17031480200,19.05,0.34377924810365257,58.16,0.6585473031656236,39.02,0.3337291125520772,1.3360556638213532
17031480300,38.04,1.969182351997745,48.52,0.2512835171335137,33.27,0.09735223275097882,2.3178181018822372
17031480400,9.88,-0.4411047151774864,13.48,-1.2290611989002145,18.7,-0.5016062261537176,-2.1717721402314187
17031480500,23.83,0.7529117829437662,34.14,-0.3562323794579535,52.68,0.8952783609143387,1.2919577644001512
17031490200,11.54,-0.29902103153008297,34.15,-0.35580990665086637,26.63,-0.17561167714107237,-0.8304426153220218
17031490500,9.49,-0.4744858215765752,18.34,-1.0237394146558103,26.21,-0.19287746662219601,-1.6911027028545815
17031490600,13.02,-0.1723440123745665,23.98,-0.7854647514586007,12.39,-0.7610041585963143,-1.7188129224294815
17031490700,30.11,1.2904331885496063,16.03,-1.1213306330929653,33.71,0.11544020268358451,0.2845427581402255
17031490800,3.24,-1.0094394497671006,32.3,-0.43396737596200785,47.07,0.6646567442736149,-0.7787500814554937
17031490901,43.11,2.403136735185899,68.03,1.0755279637607407,41.91,0.4525341877912377,3.9311988867378775
17031490902,22.99,0.6810140153149596,36.86,-0.24131977593022125,22.29,-0.354024835112684,0.08566940427205438
17031491000,37.37,1.9118353230557203,57.35,0.6243270057915564,48.88,0.7390640751327433,3.27522640398002
17031491100,6.08,-0.7663565211173259,27.79,-0.6245026119583581,16.87,-0.576835737464328,-1.9676948705400121
17031491200,18.28,0.27787296111057985,26.05,-0.6980128803915396,50.61,0.8101826841859432,0.3900427649049834
17031491300,39.95,2.1326641807727698,56.01,0.5677156496418646,45.6,0.6042264810896819,3.3046063115043163
